author,genre,imgURL,old_price,price,title
"Cho Hang Rok, Lee Mi Hye, Lê Đăng Hoan, Lê Thị Thu Giang, Đỗ Ngọc Luyến, Lương Nguyễn Thanh Trang",korean,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_16475.jpg,70.000,52.500,Tiếng Hàn Tổng Hợp Dành Cho Người Việt Nam - Sách Bài Tập Sơ Cấp 1
Nhiều Tác Giả,korean,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_185722.jpg,95.000,71.250,Luyện Nghe Tiếng Hàn Dành Cho Người Mới Bắt Đầu
Thu trang,korean,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_190571.jpg,69.000,50.370,Ngữ Pháp Tiếng Hàn Cho Người Mới Bắt Đầu
"An Reeju, Cho Hyungjoo, Cho Yeonha, Choi Gwon Jin, Kim Chunmi, Oh Nari",korean,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_220427.jpg,295.000,221.250,TOPIK’s Supreme Finish - Công Thức Tuyệt Đỉnh Đạt TOPIK II
Khrongkhwan Chimrarong,korean,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_217160.jpg,198.000,168.300,Quick Korean - Nói Tiếng Hàn Cấp Tốc
"Vân Anh, Nguyễn Hiền",korean,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_143463.jpg,75.000,56.250,600 Câu Giao Tiếp Tiếng Hàn Thông Dụng
Lê Huy Khoa Kanata,korean,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_180164_1_43_1_57_1_4_1_2_1_210_1_29_1_98_1_25_1_21_1_5_1_3_1_18_1_18_1_45_1_26_1_32_1_14_1_863.jpg,129.000,100.620,Tuyển Tập 5000 Cấu Trúc Ngữ Pháp - Quán Dụng Ngữ - Từ Vựng Tiếng Hàn / Luyện Tập Topik Trung Cao Cấp
Kim Mi Sook,korean,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/i/ti_ng-h_n-_ng-d_ng-s_-c_p-1.jpg,169.000,135.200,"Tiếng Hàn Ứng Dụng - Học Nhanh, Thực Hành Ngay - Sơ Cấp 1"
Trung Tâm Hàn Ngữ Seoul,korean,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195747.jpg,288.000,195.840,Cẩm Nang Luyện Thi Năng Lực Tiếng Hàn Topik II Intermediate - Advanced
Lê Huy Khoa,korean,https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_12813.jpg,85.000,68.850,Giỏi Tiếng Hàn Nhàn Như Ăn Gimbap
